Row0=Port(Qubit1L):Terminal(JJ1L_T1)	Row1=Port(Sink):Terminal(Sink1_T1)	Row2=Port(Source):Terminal(Source1_T1)	
Frequency   	Z[1,1]_Mag  	Z[1,1]_Phs  	Z[1,2]_Mag  	Z[1,2]_Phs  	Z[1,3]_Mag  	Z[1,3]_Phs  	Z[2,1]_Mag  	Z[2,1]_Phs  	Z[2,2]_Mag  	Z[2,2]_Phs  	Z[2,3]_Mag  	Z[2,3]_Phs  	Z[3,1]_Mag  	Z[3,1]_Phs  	Z[3,2]_Mag  	Z[3,2]_Phs  	Z[3,3]_Mag  	Z[3,3]_Phs  	
1.090000000000000E+09 	2.772418563064081E+02  	-8.999904469021918E+01  	1.692644426977515E-04  	-8.995685147996072E+01  	4.106471471167725E-02  	-9.002509460048701E+01  	1.692644613596937E-04  	-8.995684980410877E+01  	1.774992672457233E+02  	-8.999954967807849E+01  	1.158486790221631E-03  	9.000039119718222E+01  	4.106471923919253E-02  	-9.002509292463496E+01  	1.158486790221616E-03  	9.000039119718427E+01  	5.813489121095243E+02  	-8.999948456747470E+01  	
1.099000000000000E+09 	2.692289807738024E+02  	-8.999906567547592E+01  	1.656215705847230E-04  	-8.995422361340984E+01  	3.987790734040426E-02  	-9.002584537163436E+01  	1.656215640935978E-04  	-8.995422013088951E+01  	1.760204884629495E+02  	-8.999954966635259E+01  	1.167950850991913E-03  	9.000040778423579E+01  	3.987790577748858E-02  	-9.002584188911456E+01  	1.167950850991902E-03  	9.000040778423622E+01  	5.765707798202037E+02  	-8.999948456809615E+01  	
1.108000000000000E+09 	2.617030152553801E+02  	-8.999910132194199E+01  	1.622221873874814E-04  	-8.995190900476938E+01  	3.876342048767799E-02  	-9.002634558197232E+01  	1.622221931506169E-04  	-8.995192062783255E+01  	1.745655274415199E+02  	-8.999954964099211E+01  	1.177416747721146E-03  	9.000042014524880E+01  	3.876342186479447E-02  	-9.002635720503547E+01  	1.177416747721157E-03  	9.000042014524232E+01  	5.718701294279851E+02  	-8.999948456387175E+01  	
1.117000000000000E+09 	2.546203865505888E+02  	-8.999912037889892E+01  	1.590448353454272E-04  	-8.994991144484092E+01  	3.771477766972638E-02  	-9.002661508677262E+01  	1.590448449692102E-04  	-8.994992361495018E+01  	1.731338084552519E+02  	-8.999954960273485E+01  	1.186884464667307E-03  	9.000042854596347E+01  	3.771477995184293E-02  	-9.002662725688181E+01  	1.186884464667290E-03  	9.000042854596646E+01  	5.672450880476715E+02  	-8.999948455512265E+01  	
1.126000000000000E+09 	2.479428698584865E+02  	-8.999912291571782E+01  	1.560706859133159E-04  	-8.994823387266490E+01  	3.672628411246932E-02  	-9.002667271365053E+01  	1.560707078861925E-04  	-8.994823190162776E+01  	1.717247741848473E+02  	-8.999954955230378E+01  	1.196353986556383E-03  	9.000043323910754E+01  	3.672628928308873E-02  	-9.002667074261336E+01  	1.196353986556393E-03  	9.000043323910752E+01  	5.626938426733044E+02  	-8.999948454215586E+01  	
1.135000000000000E+09 	2.416366382490556E+02  	-8.999914032358991E+01  	1.532831606728987E-04  	-8.994687841333587E+01  	3.579291334782109E-02  	-9.002653630844196E+01  	1.532831653140207E-04  	-8.994687882394696E+01  	1.703378849881041E+02  	-8.999954949040702E+01  	1.205825298606420E-03  	9.000043446510551E+01  	3.579291443156240E-02  	-9.002653671905296E+01  	1.205825298606428E-03  	9.000043446510614E+01  	5.582146378040790E+02  	-8.999948452526550E+01  	
1.144000000000000E+09 	2.356714291750278E+02  	-8.999915177053560E+01  	1.506673574767413E-04  	-8.994584641510302E+01  	3.491015298589405E-02  	-9.002622278063021E+01  	1.506673501121547E-04  	-8.994584473321022E+01  	1.689726182045738E+02  	-8.999954941773770E+01  	1.215298386581686E-03  	9.000043245283099E+01  	3.491015127949278E-02  	-9.002622109873909E+01  	1.215298386581691E-03  	9.000043245283273E+01  	5.538057731823214E+02  	-8.999948450473198E+01  	
1.153000000000000E+09 	2.300194268122991E+02  	-8.999913119944348E+01  	1.482095282683721E-04  	-8.994513848419747E+01  	3.407386873546576E-02  	-9.002574814679237E+01  	1.482094945671696E-04  	-8.994510402548124E+01  	1.676284674927872E+02  	-8.999954933497416E+01  	1.224773236840900E-03  	9.000042742028228E+01  	3.407386098744623E-02  	-9.002571368807533E+01  	1.224773236840918E-03  	9.000042742028128E+01  	5.494656016374053E+02  	-8.999948448082462E+01  	
1.162000000000000E+09 	2.246575185800317E+02  	-8.999916742052098E+01  	1.458984520274615E-04  	-8.994475450561957E+01  	3.328060646933056E-02  	-9.002512756025843E+01  	1.458984406173884E-04  	-8.994474526358569E+01  	1.663049421982786E+02  	-8.999954924277915E+01  	1.234249836106003E-03  	9.000041957517558E+01  	3.328060386660144E-02  	-9.002511831822451E+01  	1.234249836106004E-03  	9.000041957517644E+01  	5.451925270299284E+02  	-8.999948445379982E+01  	
1.171000000000000E+09 	2.195632956804822E+02  	-8.999919781379525E+01  	1.437231508624212E-04  	-8.994469368560185E+01  	3.252705201820051E-02  	-9.002437536273118E+01  	1.437231269138838E-04  	-8.994470490733414E+01  	1.650015667507530E+02  	-8.999954914180051E+01  	1.243728171773877E-03  	9.000040911557454E+01  	3.252704659822952E-02  	-9.002438658446340E+01  	1.243728171773870E-03  	9.000040911557733E+01  	5.409850022905727E+02  	-8.999948442390335E+01  	
